rank,cityId,displayName,country,region,cityType,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,overallWeightedCoverage,rankingStatus,populationM,countryPopM,nationalSharePct,industries,birthRate,workingHrsPerWk,waterAccessPct,broadbandPer100,climateScore,gdpGrowthPct,peer1,peer2,peer3
88,br-curitiba,Curitiba,Brazil,Latin America,secondary,42.2,51.8,45.1,69.5,36.3,27.6,A,0.91,Ranked,3.5,215,1.6,manufacturing; tech; services,1.64,38.9,88.6,22.4,56.0,3.42,Florianopolis,Sao Paulo,Panama City
89,kw-kuwait-city,Kuwait City,Kuwait,Middle East,secondary,42.2,91.4,69.2,65,19.7,19.9,A,0.83,Ranked,3.1,4.3,72.1,energy; finance; government,2.08,,100.0,1.0,28.0,-2.56,Nizhny Novgorod,Khobar,Jeddah
90,br-florianopolis,Florianopolis,Brazil,Latin America,secondary,41.9,50.4,45.1,69.5,36.3,27.6,A,0.91,Ranked,1.2,215,0.6,tech; services; tourism,1.64,38.9,88.6,22.4,,3.42,Curitiba,Sao Paulo,Panama City
91,ar-buenos-aires,Buenos Aires,Argentina,Latin America,primary,41.8,55.4,69.2,78.6,46.8,10.2,A,0.87,Ranked,15.3,46,33.3,finance; tourism; services,1.56,36.5,,25.4,62.0,-1.34,Cordoba,Asuncion,Montevideo
92,cn-chongqing,Chongqing,China,East Asia,primary,41,38.5,75.2,71.9,20.3,37.1,A,0.95,Ranked,8,1409,0.6,manufacturing; automotive; trade,1.00,46.0,95.0,44.7,44.0,4.98,Chengdu,Hangzhou,Nanjing
93,cn-chengdu,Chengdu,China,East Asia,primary,40.9,37.8,77,71.9,20.5,37.1,A,0.95,Ranked,9,1409,0.6,tech; manufacturing; tourism,1.00,46.0,95.0,44.7,42.0,4.98,Chongqing,Hangzhou,Guangzhou
94,cn-guangzhou,Guangzhou,China,East Asia,primary,40,38.1,98.6,71.9,19.7,37.1,A,0.83,Ranked,14,1409,1.0,manufacturing; trade; tech,1.00,,,44.7,62.0,4.98,Shenzhen,Tianjin,Shanghai
95,br-sao-paulo,Sao Paulo,Brazil,Latin America,primary,39.9,42.7,45.1,69.5,36.3,27.6,A,0.91,Ranked,22,215,10.2,finance; manufacturing; services,1.64,38.9,88.6,22.4,60.0,3.42,Florianopolis,Curitiba,San Jose
96,cn-hangzhou,Hangzhou,China,East Asia,primary,39,33.5,84,71.9,20.6,37.1,A,0.95,Ranked,8,1409,0.6,tech; trade; manufacturing,1.00,46.0,95.0,44.7,56.0,4.98,Chengdu,Chongqing,Shenzhen
97,cn-shenzhen,Shenzhen,China,East Asia,primary,38.7,35.3,98.6,71.9,19.7,37.1,A,0.83,Ranked,13,1409,0.9,tech; manufacturing; trade,1.00,,,44.7,66.0,4.98,Guangzhou,Shanghai,Tianjin
98,cn-nanjing,Nanjing,China,East Asia,primary,38.4,52.6,75.3,59,7.1,34.5,A,0.95,Ranked,,,,,1.18,46.1,94.2,37.3,50.0,5.00,Doha,Chongqing,Chengdu
100,lt-vilnius,Vilnius,Lithuania,Southern/Eastern Europe and Eurasia,primary,36.9,65,,41.6,74,41.4,C,0.39,Ranked,0.58,2.8,20.7,tech; finance; government,,,,,36.0,,Riga,Valencia,Zagreb
101,cn-shanghai,Shanghai,China,East Asia,primary,36.7,31.3,98.6,71.9,19.7,37.1,A,0.83,Ranked,25,1409,1.8,finance; trade; manufacturing,1.00,,,44.7,58.0,4.98,Shenzhen,Guangzhou,Tianjin
102,pe-arequipa,Arequipa,Peru,Latin America,secondary,36.3,57.5,34.1,42.3,34.9,24.7,A,0.85,Ranked,1.1,33,3.3,mining; manufacturing; tourism,,39.7,49.4,10.4,,3.30,Lima,Cebu City,Makati
103,pe-lima,Lima,Peru,Latin America,primary,35.8,51.3,34.1,42.3,34.9,24.7,A,0.85,Ranked,10.9,33,33.0,finance; manufacturing; services,,39.7,49.4,10.4,,3.30,Arequipa,Suva,Makati
104,bw-gaborone,Gaborone,Botswana,Africa,secondary,35.7,51.4,31.9,22.2,45.2,39,A,0.91,Ranked,0.27,2.6,10.4,government; mining; services,,42.9,63.3,3.4,,-2.99,Windhoek,Tbilisi,Phnom Penh
105,ru-nizhny-novgorod,Nizhny Novgorod,Russia,Southern/Eastern Europe and Eurasia,secondary,35.7,70.7,62.4,59.2,15.9,15.5,A,0.91,Ranked,1.25,144,0.9,manufacturing; automotive; trade,,39.2,76.3,25.8,,4.34,Kuwait City,Doha,Salalah
106,fj-suva,Suva,Fiji,Oceania,secondary,35.7,45.8,36.1,47.7,30.8,25.1,A,0.86,Ranked,0.18,0.93,19.4,government; trade; services,,37.3,42.1,2.5,,3.53,Lima,Makati,Arequipa
107,co-medellin,Medellin,Colombia,Latin America,secondary,35,54.4,28,66.3,41.9,19.6,A,0.91,Ranked,4.1,52,7.9,manufacturing; tech; services,1.64,42.8,74.3,17.0,72.0,1.60,Bogota,Panama City,Merida
108,co-bogota,Bogota,Colombia,Latin America,primary,34.1,48.7,28,66.3,41.9,19.6,A,0.91,Ranked,11.5,52,22.1,finance; services; government,1.64,42.8,74.3,17.0,54.0,1.60,Medellin,Guadalajara,Merida
